,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,y
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11700.0,0.625,10300.0,2.375,13900.0,0.875,6700.0,0.5,4300.0,0.625,10000.0,0.625,6500.0,2.5,900.0,1.125,7100.0,0.625,399.828
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.625,8700.0,2.375,15900.0,0.875,10500.0,0.5,5600.0,0.625,8300.0,0.625,900.0,2.5,15000.0,1.125,2100.0,0.625,365.821
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.5,5700.0,1.375,2800.0,0.625,21000.0,0.625,7200.0,1.5,900.0,1.25,7000.0,1.25,7800.0,1.5,5500.0,0.5,10700.0,0.875,403.337
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.5,900.0,1.375,7900.0,0.625,7700.0,0.625,22300.0,1.5,8900.0,1.25,3000.0,1.25,7500.0,1.5,5500.0,0.5,2400.0,0.875,418.81
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17100.0,1.375,2100.0,0.625,5700.0,1.625,12600.0,1.0,6100.0,1.0,9000.0,1.0,500.0,1.375,18200.0,1.375,386.552
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,1.375,20900.0,0.625,16200.0,1.625,800.0,1.0,3900.0,1.0,6200.0,1.0,500.0,1.375,1800.0,1.375,459.823
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,2.375,18300.0,0.875,13500.0,1.5,6200.0,1.0,9600.0,1.375,3800.0,1.125,427.936
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,2.375,13100.0,0.875,700.0,1.5,15600.0,1.0,12000.0,1.375,26600.0,1.125,414.203
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,1.625,20900.0,0.625,2800.0,1.125,30800.0,2.25,8700.0,1.875,800.0,0.875,421.343
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,1.625,3200.0,0.625,24100.0,1.125,6400.0,2.25,11900.0,1.875,21000.0,0.875,422.542
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,4.25,4000.0,1.0,3800.0,1.25,12000.0,1.125,8300.0,1.0,10100.0,1.0,472.884
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0,4.25,17500.0,1.0,2300.0,1.25,4500.0,1.125,29800.0,1.0,4200.0,1.0,379.481
